station,valid,lon,lat,elevation,tmpc,dwpc,relh,drct,sknt,mslp,p01m,vsby,gust,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3,wxcodes,peak_wind_gust,peak_wind_drct,peak_wind_time,metar
BWI,2024-01-27 00:01,-76.6841,39.1733,42.00,9.44,8.33,92.77,0.00,0.00,M,0.00,0.00,M,VV ,M,M,200.00,M,M,FG,M,M,M,KBWI 270501Z 00000KT 0SM R15R/1000V1400FT FG VV002 09/08 A3010 RMK AO2 T00940083 $
BWI,2024-01-27 00:54,-76.6841,39.1733,42.00,8.33,8.33,100.00,0.00,0.00,1019.30,0.00,0.00,M,VV ,M,M,200.00,M,M,FG,M,M,M,KBWI 270554Z 00000KT 0SM R15R/1200V1800FT FG VV002 08/08 A3010 RMK AO2 SLP193 T00830083 10144 20083 51014 $
BWI,2024-01-27 01:44,-76.6841,39.1733,42.00,8.33,7.22,92.71,0.00,0.00,M,0.00,0.00,M,VV ,M,M,100.00,M,M,FG,M,M,M,KBWI 270644Z 00000KT 0SM R15R/1000V1400FT FG VV001 08/07 A3011 RMK AO2 T00830072 $
BWI,2024-01-27 01:54,-76.6841,39.1733,42.00,7.78,6.67,92.68,0.00,0.00,1019.40,0.00,0.06,M,BKN,BKN,M,100.00,25000.00,M,FG,M,M,M,KBWI 270654Z 00000KT 1/16SM R15R/1200V1600FT FG BKN001 BKN250 08/07 A3011 RMK AO2 SLP194 T00780067 $
BWI,2024-01-27 02:17,-76.6841,39.1733,42.00,7.78,6.67,92.68,0.00,0.00,M,0.00,0.06,M,VV ,M,M,100.00,M,M,FG,M,M,M,KBWI 270717Z 00000KT 1/16SM R15R/1800V2600FT FG VV001 08/07 A3011 RMK AO2 T00780067 $
BWI,2024-01-27 02:29,-76.6841,39.1733,42.00,7.22,6.67,96.26,0.00,0.00,M,0.00,0.06,M,VV ,M,M,100.00,M,M,FG,M,M,M,KBWI 270729Z 00000KT 1/16SM R15R/1800V2200FT FG VV001 07/07 A3011 RMK AO2 T00720067 $
BWI,2024-01-27 02:39,-76.6841,39.1733,42.00,7.22,6.11,92.65,0.00,0.00,M,0.00,0.12,M,BKN,BKN,M,100.00,25000.00,M,FG,M,M,M,KBWI 270739Z 00000KT 1/8SM R15R/2000V3000FT FG BKN001 BKN250 07/06 A3011 RMK AO2 T00720061 $
BWI,2024-01-27 02:54,-76.6841,39.1733,42.00,7.22,6.11,92.65,0.00,0.00,1019.80,0.00,0.50,M,BKN,BKN,M,100.00,25000.00,M,FG,M,M,M,KBWI 270754Z 00000KT 1/2SM R15R/2200V2800FT FG BKN001 BKN250 07/06 A3012 RMK AO2 SLP198 T00720061 $
BWI,2024-01-27 03:45,-76.6841,39.1733,42.00,6.11,5.00,92.58,0.00,0.00,M,0.00,2.00,M,SCT,BKN,M,100.00,25000.00,M,MIFG BR,M,M,M,KBWI 270845Z 00000KT 2SM MIFG BR SCT001 BKN250 06/05 A3012 RMK AO2 T00610050 $
BWI,2024-01-27 03:54,-76.6841,39.1733,42.00,6.11,5.00,92.58,0.00,0.00,1020.00,0.00,7.00,M,SCT,BKN,M,100.00,25000.00,M,MIFG,M,M,M,KBWI 270854Z COR 00000KT 7SM R15R/5000VP6000FT MIFG SCT001 BKN250 06/05 A3012 RMK AO2 SLP200 VIS E-SE 2 T00610050 53007 $
